Date,Price,Open,High,Low,Vol.,Change %
"Jul 16, 2025","118,630.43","117,758.08","120,063.84","117,017.29",17.04K,0.74%
"Jul 15, 2025","117,758.09","119,841.17","119,940.83","115,736.92",32.02K,-1.74%
"Jul 14, 2025","119,841.18","119,086.65","123,218","118,905.18",27.27K,0.63%
"Jul 13, 2025","119,086.64","117,420","119,488","117,224.79",9.55K,1.42%
"Jul 12, 2025","117,420","117,527.66","118,200","116,900.05",8.45K,-0.09%
"Jul 11, 2025","117,527.66","116,010.01","118,869.98","115,222.22",25.87K,1.31%
"Jul 10, 2025","116,010","111,234","116,868","110,500",24.88K,4.29%
"Jul 09, 2025","111,233.99","108,922.99","111,999.79","108,324.53",17.28K,2.12%
"Jul 08, 2025","108,922.98","108,262.94","109,216.56","107,429.57",9.22K,0.61%
"Jul 07, 2025","108,262.94","109,203.85","109,700","107,513.2",9.41K,-0.86%
"Jul 06, 2025","109,203.84","108,198.12","109,700","107,800.01",6.45K,0.93%
"Jul 05, 2025","108,198.12","107,984.25","108,420.56","107,756.31",3.74K,0.20%
"Jul 04, 2025","107,984.24","109,584.77","109,767.59","107,245",11.79K,-1.46%
"Jul 03, 2025","109,584.78","108,849.59","110,529.18","108,530.4",13.05K,0.68%
"Jul 02, 2025","108,849.6","105,681.13","109,730","105,100.19",17.69K,3.00%
"Jul 01, 2025","105,681.14","107,146.51","107,540","105,250.85",10.51K,-1.37%
"Jun 30, 2025","107,146.5","108,356.93","108,789.99","106,733.33",9.75K,-1.12%
"Jun 29, 2025","108,356.93","107,296.79","108,528.5","107,172.52",6.83K,0.99%
"Jun 28, 2025","107,296.79","107,047.58","107,577.75","106,811.51",3.28K,0.23%
"Jun 27, 2025","107,047.59","106,947.06","107,735.34","106,356.76",12.23K,0.09%
"Jun 26, 2025","106,947.06","107,340.59","108,272.45","106,562.5",10.57K,-0.37%
"Jun 25, 2025","107,340.58","106,083","108,135.3","105,808.03",16.70K,1.19%
"Jun 24, 2025","106,083","105,333.94","106,290","104,622.02",14.65K,0.71%
"Jun 23, 2025","105,333.93","100,963.87","106,074.2","99,613.33",27.67K,4.33%
"Jun 22, 2025","100,963.87","102,120.02","103,399.62","98,200",28.75K,-1.13%
"Jun 21, 2025","102,120.01","103,297.98","103,982.64","100,837.9",11.15K,-1.14%
"Jun 20, 2025","103,297.99","104,658.59","106,524.65","102,345",16.42K,-1.30%
"Jun 19, 2025","104,658.59","104,886.79","105,226.17","103,929.27",7.68K,-0.22%
"Jun 18, 2025","104,886.78","104,551.17","105,550.27","103,500",13.97K,0.32%
"Jun 17, 2025","104,551.17","106,794.53","107,771.34","103,371.02",17.87K,-2.10%
"Jun 16, 2025","106,794.53","105,594.02","108,952.38","104,980.37",14.92K,1.14%
"Jun 15, 2025","105,594.01","105,414.63","106,128.57","104,494.53",7.16K,0.17%
"Jun 14, 2025","105,414.64","106,066.59","106,252","104,300",8.80K,-0.61%
"Jun 13, 2025","106,066.59","105,671.74","106,179.53","102,664.31",26.18K,0.37%
"Jun 12, 2025","105,671.73","108,645.13","108,813.55","105,671.72",17.78K,-2.74%
"Jun 11, 2025","108,645.12","110,274.39","110,392.01","108,064",13.12K,-1.48%
"Jun 10, 2025","110,274.39","110,263.02","110,400","108,331.03",17.07K,0.01%
"Jun 09, 2025","110,263.02","105,734.01","110,530.17","105,318.37",19.98K,4.28%
"Jun 08, 2025","105,734","105,552.15","106,488.14","104,964.14",8.05K,0.17%
"Jun 07, 2025","105,552.15","104,288.43","105,900","103,871.09",8.34K,1.21%
"Jun 06, 2025","104,288.44","101,508.69","105,333","101,095.8",15.84K,2.74%
"Jun 05, 2025","101,508.68","104,696.86","105,909.71","100,372.26",22.32K,-3.05%
"Jun 04, 2025","104,696.86","105,376.9","106,000","104,179",14.03K,-0.65%
"Jun 03, 2025","105,376.89","105,858","106,794.67","104,872.5",13.26K,-0.45%
"Jun 02, 2025","105,857.99","105,642.93","105,935.63","103,659.88",13.45K,0.20%
"Jun 01, 2025","105,642.93","104,591.88","105,866.91","103,752.49",9.71K,1.00%
"May 31, 2025","104,591.88","103,985.47","104,900","103,068.55",11.29K,0.58%
"May 30, 2025","103,985.48","105,589.75","106,313.12","103,621",23.71K,-1.52%
"May 29, 2025","105,589.75","107,781.78","108,891.91","105,322.86",19.83K,-2.03%
"May 28, 2025","107,781.78","108,938.17","109,284.7","106,769.43",15.63K,-1.06%
"May 27, 2025","108,938.17","109,434.78","110,718","107,516.57",21.28K,-0.45%
"May 26, 2025","109,434.79","109,004.2","110,422.22","108,670.58",14.65K,0.40%
"May 25, 2025","109,004.19","107,761.9","109,299.99","106,600.64",17.71K,1.15%
"May 24, 2025","107,761.91","107,318.3","109,506.03","106,875.41",16.78K,0.41%
"May 23, 2025","107,318.3","111,696.22","111,800","106,800",31.74K,-3.92%
"May 22, 2025","111,696.21","109,643.99","111,980","109,177.37",31.63K,1.87%
"May 21, 2025","109,643.99","106,850","110,797.38","106,100.01",45.53K,2.61%
"May 20, 2025","106,849.99","105,573.73","107,320","104,184.72",23.71K,1.21%
"May 19, 2025","105,573.74","106,454.27","107,108.62","102,000",30.26K,-0.83%
"May 18, 2025","106,454.26","103,126.65","106,660","103,105.09",21.60K,3.23%
"May 17, 2025","103,126.65","103,463.9","103,709.86","102,612.5",11.25K,-0.33%
"May 16, 2025","103,463.9","103,763.71","104,550.33","103,100.49",15.68K,-0.29%
"May 15, 2025","103,763.71","103,507.83","104,192.7","101,383.07",18.00K,0.25%
"May 14, 2025","103,507.82","104,103.72","104,356.95","102,602.05",16.45K,-0.57%
"May 13, 2025","104,103.72","102,791.32","104,976.25","101,429.7",21.25K,1.28%
"May 12, 2025","102,791.32","104,118","105,819.45","100,718.37",31.27K,-1.27%
"May 11, 2025","104,118","104,809.53","104,972","103,345.06",17.99K,-0.66%
"May 10, 2025","104,809.53","102,971.99","104,984.57","102,818.76",15.32K,1.78%
"May 09, 2025","102,971.99","103,261.61","104,361.3","102,315.14",27.62K,-0.28%
"May 08, 2025","103,261.6","97,030.5","104,145.76","96,876.29",34.96K,6.42%
"May 07, 2025","97,030.5","96,834.02","97,732","95,784.61",16.64K,0.20%
"May 06, 2025","96,834.02","94,733.68","96,920.65","93,377",16.12K,2.22%
"May 05, 2025","94,733.68","94,277.61","95,199","93,514.1",17.25K,0.48%
"May 04, 2025","94,277.62","95,856.42","96,304.48","94,151.38",11.04K,-1.65%
"May 03, 2025","95,856.42","96,887.13","96,935.67","95,753.01",9.72K,-1.06%
"May 02, 2025","96,887.14","96,489.9","97,895.68","96,350",14.91K,0.41%
"May 01, 2025","96,489.91","94,172","97,424.02","94,130.43",21.38K,2.46%
